ID,Chapter,Title,Criteria,Related_Criteria,Explanation,Service
93,1. 概要,広告規定を理解しておく,"Metaの広告規定では、Metaで許可される広告と禁止される広告の種類に関するポリシーの詳細およびガイダンスを提供しています。広告主が注文を確定すると、広告はMetaのポリシーに照らして一つひとつ審査されます。Metaの広告規定では、ビジネスアカウントまたはそのアセット(広告アカウント、ページ、ユーザーアカウント)に対して課せられる広告の制限の原因となり得る広告主の行動に関するガイドラインも提供しています。

広告が誤って却下された、またはビジネスアカウントやそのアセットが誤って制限されたと思われる場合は、アカウントのクオリティで各決定事項についての審査をリクエストすることができます。",0,,meta
94,1. 概要,混乱が生じやすいポイント,ポリシーに準拠していてユーザーフレンドリーな広告の作成をお手伝いするため、混乱が起きやすいポイントをハイライトしました。詳しくは、以下のリンクをクリックしてください。,0,"広告におけるブランド利用
FacebookまたはInstagramのコンテンツ(Facebookページ、グループ、イベント、Facebookログインを使用するウェブサイトを含む)にリンクする広告は、広告のリンク先を明確にする目的で、広告テキスト中で限定的に「Facebook」または「Instagram」という名称を使うことができます。

広告は、Metaのいかなるブランドも、クリエイティブの最も際立った特徴となるような形で表示してはいけません。Metaのブランドアセットには、デザインや色の変更、特殊効果やアニメーションの追加、その他一切の改変を加えてはいけません。

概要
広告主は特定の状況を除いて、Metaブランドへの言及を含む広告を掲載することができません。

ガイドライン
広告主は以下が行われた広告を掲載できません:

Metaのブランドを、クリエイティブの最も際立った特徴となるような形で表示すること。たとえば、広告では以下のことを行えません:
「Facebook」の単語をその周囲のテキストと異なるフォントサイズまたはスタイルで表示すること。
Metaのブランドアセットをデザインや色の変更、特殊効果やアニメーションを加えるなど、何らかの形で改変すること。たとえば、以下のような広告は許可されません:
Facebookの商標を複数形にしたり、「FB」と略したり、動詞として使用する
広告に掲載する単語として「Facebook」という単語の代わりに「f」という文字やFacebookロゴを使用している
広告内にMetaの企業ロゴを使用している
ウェブアドレスの一部になっている場合以外で、先頭文字が大文字の「Facebook」になっていない
広告主は以下の広告を掲載できます:

Metaブランドリソースセンターのブランドガイドラインに従ってください。広告主が行えることを以下に例として挙げます:
Facebookログインを使用するページやグループ、イベント、ウェブサイトなどFacebookまたはInstagramのコンテンツにリンクする際に、リンク先を明確にする目的で広告に文字として「Facebook」または「Instagram」を限定的に記載すること
In addition to reviewing ads, we monitor and investigate the behaviour of advertisers across Meta platforms. In some cases, after we've reviewed an ad and it has been rejected, we may then apply restrictions on advertisers that limit their ability to advertise. These restrictions are meant to help protect people from poor experiences and support meaningful connections across Meta.

Refer to the Meta Transparency Centre for comprehensive policy guidance.

Why we may apply advertising restrictions
We may apply advertising restrictions when an advertiser doesn't follow Meta Advertising Standards or other policies and terms.

Advertising restrictions may include:

Limits on the amount that an advertiser can spend per day
Loss of access to some advertising features
Loss of the ability to advertise on Meta platforms
We may also apply advertising restrictions in the following scenarios:

An advertiser doesn't follow the Community Standards, Advertising Standards, Commerce Policies or other policies and terms.
Watch the video below to learn more:

Play
-3:45
Mute
Additional visual settingsHD
Enter fullscreenSharing and reporting options

Note: Account Quality is now Business Support Home.

Advertising restrictions for policy violations
If we find that an advertiser doesn't follow the Advertising Standards or other policies and terms, they may face advertising restrictions. The restrictions may be applied on an advertiser's Meta business portfolio, ad account, Page or user account:

Business portfolio: A central location for your business assets, such as Facebook Pages, Instagram accounts, ad accounts and product catalogues that you can manage together as a unified online business.
Ad account: An account used for managing ads across Meta platforms, which allows advertisers to create ads and campaigns, pay for ads and see insights and analytics.
Page: A product that lets people and businesses create a presence on Facebook and connect with the Facebook community. Every advertiser will need to have a Facebook Page created before they can advertise.
User account: A Facebook or Instagram account is the account of the specific person who is advertising using an ad account. Enforcements on a user account affect whether the person can use business assets.
When a business portfolio, ad account, Page or user account has been restricted, an advertiser will not be able to advertise across Meta platforms. For example, if an advertiser has a restricted Page, they won't be able to run ads associated with that Page. This restriction can be permanent with no options for review or account reinstatement.

Note: If a user account is restricted from advertising using a business portfolio or ad account, other members of those accounts may still be able to advertise.

Common examples of policy violations
Below are some common examples of policy violations that may result in advertising restrictions.


Violating content
Ads must go through our ad review process and comply with our Advertising Standards. If we find that an advertiser runs ad content that severely or repeatedly violates our policies, we may apply advertising restrictions on their business portfolio, ad account, Page or user account.

Read our Violating Content policy.


Evading enforcement
Any attempt to evade our review process or other enforcement actions is not allowed. If we find that an advertiser engages in this behaviour, we may apply advertising restrictions on their business portfolio, ad account, Page or user account.

Examples of attempts to circumvent our review processes include:

Attempting to create new ad accounts or other business assets with the intent to repeat violations after we've disabled existing accounts for initial violation of our policies
Coordination within a network of accounts or business assets that run the same or similar ads that persistently or egregiously violate our policies
Read our Evading Enforcement policy.


Violating networks or associations
If a business asset is found in close connection with a network of accounts or other entities that violate or evade our policies, we may apply advertising restrictions to that business portfolio, ad account, Page or user.

Read our Violating Networks or Associations policy.

Advertising restrictions for unusual activity
When we notice unusual activity in your business portfolio, ad account, Page or user account, we may temporarily restrict certain features while we investigate the issue. These restrictions can include limited advertising spending, loss of the ability to add admins, partners or users, or loss of the ability to create new ad accounts. There may be actions for you to take to try to resolve any restrictions, and you can review those actions in Business Support Home.

Note: If you suspect that your business asset has been hacked, learn more about how to secure a hacked account.

What to do if you think that you shouldn't have a restriction
If you believe that your business portfolio, ad account, Page or user account was incorrectly restricted, you may be able to request a review of the decision in Business Support Home.

There is a limited number of times that you can request an advertising restriction review and once the review has happened, the decision will be final. Requesting another review of our decision will not hurt your standing with our company in any way.
",meta
95,2. Meta広告ポリシーの原則,2. Meta広告ポリシーの原則,"広告主は、新しい製品やサービスを紹介したり、イベントへの注目を集めたり、問題への意識を高めたりするなど、さまざまな方法でMetaのコミュニティに貢献しています。弊社は、Metaの広告ツールを利用する事業者と団体の安全を保ち、Metaの製品やサービスを利用する誰もが快適に利用できる環境を築くために、Metaのテクノロジー全体での許可事項を示す広告規定を設けています。

Metaのテクノロジー全体で広告を掲載する広告主は、Metaのコミュニティ規定と広告規定に従う必要があります。さらに、Instagramを利用する広告主は、Instagramコミュニティガイドラインにも従う必要があります。",0,"
Community Guidelines:
COVID-19: Community Guidelines updates and protections: As people around the world confront this unprecedented public health emergency, we want to make sure that our Community Guidelines protect people from harmful content and new types of abuse related to COVID-19. We're working to remove content that has the potential to contribute to real-world harm, including through our policies prohibiting the coordination of harm, sale of medical masks and related goods, hate speech, bullying and harassment and misinformation that contributes to the risk of imminent violence or physical harm. To learn more about our policies on COVID-19 and vaccines, see here.
The short
We want Instagram to continue to be an authentic and safe place for inspiration and expression. Help us foster this community. Only post your own photos and videos and always follow the law. Respect everyone on Instagram, don't spam people or post nudity.
The long
Instagram is a reflection of our diverse community of cultures, ages and beliefs. We've spent a lot of time thinking about the different points of view that create a safe and open environment for everyone.
We created the Community Guidelines so you can help us foster and protect this amazing community. By using Instagram, you agree to these guidelines and our Terms of Use. We're committed to these guidelines and we hope you are too. Overstepping these boundaries may result in deleted content, disabled accounts or other restrictions.
In some cases, we allow content for public awareness that would otherwise go against our Community Guidelines – if it is newsworthy and in the public interest. We do this only after weighing the public interest value against the risk of harm, and we look to international human rights standards to make these judgments.
Only share photos and videos that you've taken or have the right to share.
As always, you own the content that you post on Instagram. Remember to post authentic content, and don't post anything you've copied or collected from the Internet that you don't have the right to post. Learn more about intellectual property rights.
Post photos and videos that are appropriate for a diverse audience.
We know that there are times when people might want to share nude images that are artistic or creative in nature, but for a variety of reasons, we don't allow nudity on Instagram. This includes photos, videos and some digitally-created content that show sexual intercourse, genitals and close-ups of fully nude buttocks. It also includes some photos of female nipples, but photos in the context of breastfeeding, birth giving and after-birth moments, health-related situations (for example, post-mastectomy, breast cancer awareness or gender confirmation surgery) or an act of protest are allowed. Nudity in photos of paintings and sculptures is OK, too.
People like to share photos or videos of their children. For safety reasons, there are times when we may remove images that show nude or partially nude children. Even when this content is shared with good intentions, it could be used by others in unanticipated ways. You can learn more on our Tips for parents page.
Foster meaningful and genuine interactions.
Help us stay spam-free by not artificially collecting likes, followers or shares, posting repetitive comments or content, or repeatedly contacting people for commercial purposes without their consent. Don't offer money or giveaways of money in exchange for likes, followers, comments or other engagement. Don't post content that engages in, promotes, encourages, facilitates or admits to the offering, solicitation or trade of fake and misleading user reviews or ratings.
You don't have to use your real name on Instagram, but we do require Instagram users to provide us with accurate and up-to-date information. Don't impersonate others and don't create accounts for the purpose of violating our guidelines or misleading others.
Follow the law.
Instagram is not a place to support or praise terrorism, organised crime or hate groups. Offering sexual services, buying or selling firearms, alcohol and tobacco products between private individuals, and buying or selling non-medical or pharmaceutical drugs are also not allowed. We also remove content that attempts to trade, co-ordinate the trade of, donate, gift or ask for non-medical drugs, as well as content that either admits to personal use (unless in the recovery context) or coordinates or promotes the use of non-medical drugs. Instagram also prohibits the sale of live animals between private individuals, though brick-and-mortar stores may offer these sales. No one may coordinate poaching or selling of endangered species or their parts.
Remember to always follow the law when offering to sell or buy other regulated goods. Accounts promoting online gambling, online real money games of skill or online lotteries must get our prior written permission before using any of our products.
We have zero tolerance when it comes to sharing sexual content involving minors or threatening to post intimate images of others.
Respect other members of the Instagram community.
We want to foster a positive, diverse community. We remove content that contains credible threats or hate speech, content that targets private individuals to degrade or shame them, personal information meant to blackmail or harass someone, and repeated unwanted messages. We do generally allow stronger conversation around people who are featured in the news or have a large public audience due to their profession or chosen activities.
It's never OK to encourage violence or attack anyone based on their race, ethnicity, national origin, sex, gender, gender identity, sexual orientation, religious affiliation, disabilities or diseases. When hate speech is being shared to challenge it or to raise awareness, we may allow it. In those instances, we ask that you express your intent clearly.
Serious threats of harm to public and personal safety aren't allowed. This includes specific threats of physical harm as well as threats of theft, vandalism and other financial harm. We carefully review reports of threats and consider many things when determining whether a threat is credible.
Maintain our supportive environment by not glorifying self-injury.
The Instagram community cares for each other, and is often a place where people facing difficult issues such as eating disorders, cutting or other kinds of self-injury come together to create awareness or find support. We try to do our part by providing education in the app and adding information in the Help Centre so that people can get the help they need.
Encouraging or urging people to embrace self-injury is counter to this environment of support, and we'll remove it or disable accounts if this is reported to us. We may also remove content identifying victims or survivors of self-injury if the content targets them for attack or humour.
Be thoughtful when posting newsworthy events.
We understand that many people use Instagram to share important and newsworthy events. Some of these issues can involve graphic images. Because so many different people and age groups use Instagram, we may remove videos of intense, graphic violence to make sure that Instagram stays appropriate for everyone.
We understand that people often share this kind of content to condemn, raise awareness or educate. If you do share content for these reasons, we encourage you to caption your photo with a warning about graphic violence. Sharing graphic images for sadistic pleasure or to glorify violence is never allowed.
Help us keep the community strong:
Each of us is an important part of the Instagram community. If you see something that you think may violate our guidelines, please help us by using our built-in reporting option. We have a global team that reviews these reports and works as quickly as possible to remove content that doesn't meet our guidelines. Even if you or someone you know doesn't have an Instagram account, you can still file a report. When you complete the report, try to provide as much information as possible, such as links, usernames and descriptions of the content, so we can find and review it quickly. We may remove entire posts if either the imagery or associated captions violate our guidelines.
You may find content you don't like, but doesn't violate the Community Guidelines. If that happens, you can unfollow or block the person who posted it. If there's something you don't like in a comment on one of your posts, you can delete that comment.
Many disputes and misunderstandings can be resolved directly between members of the community. If one of your photos or videos was posted by someone else, you could try commenting on the post and asking the person to take it down. If that doesn't work, you can file a copyright report. If you believe someone is violating your trademark, you can file a trademark report. Don't target the person who posted it by posting screenshots and drawing attention to the situation because that may be classified as harassment.
We may work with law enforcement, including when we believe that there's risk of physical harm or threat to public safety.
For more information, take a look at our Help Centre and Terms of Use.
Thank you for helping us create one of the best communities in the world,
The Instagram Team
Facebookコミュニティ規定
Facebookコミュニティ規定では、Facebookで認められる行為と認められない行為の概要を示しています。

はじめに
Facebookでは、日々大勢の人が体験をシェアしたり、友達や家族とつながったりしているほか、コミュニティも築いています。20億を超える人々がFacebookのサービスを利用し、国や文化を超えて多数の言語で自由に自己表現しています。

Metaでは、Facebookで利用者が自由にやり取りできる環境を作るために、サービスにおける不正行為や不適切な内容をなくすことに真摯に取り組んでいます。このため、Facebookで認められることと認められないことを示す規定を策定しました。

これらの規定は利用者からの意見に加え、テクノロジーや公共の安全、人権などの分野における専門家からの助言に基づき策定されています。あらゆる人の意見を尊重するため、弊社では細心の注意を払って規定を作成しています。この規定には特に、関心を寄せなければ見過ごされたり取り残されたりしてしまう可能性のある人々やコミュニティのさまざまな考え方や信条も含まれています。


コミュニティ規定の英語(米国)版は最新の各種ポリシーを反映していますので、最上位のドキュメントとしてご使用ください。



意見に対するFacebookの取り組み
コミュニティ規定の目的は、常に誰もが自由に表現し発言できる場を作ることです。Metaでは、一部の人が反対したり、不快に思ったりする可能性があっても、文章のコメント、写真、音楽、その他の芸術媒体を通じて、人々が自分にとって重要な問題についてオープンに話すことができることを望んでいます。他の人に知らせる価値があり、公益のために必要と判断される場合には、規定に違反するコンテンツが容認されることもあります。これは、コンテンツがもたらす公共の利益と危害のリスクを慎重に比較し、国際的な人権基準を参照したうえでのみ行います。その他の場合、補足情報によってコンテンツが規定に違反すると合理的に判断できるときに、曖昧な言葉や暗黙的な言葉を使用しているコンテンツを削除する場合があります。

弊社では自由な表現に対する取り組みを何よりも大切にしていますが、インターネットでは不適切なコンテンツが次々と現れ、増加していることも認識しています。こうしたことから、以下の意義を重んじることを目的として、表現に制限をかける場合があります。


真正性
Facebookで利用者に表示されるコンテンツは信頼できるものであるべきです。真正性が守られると、コンテンツをシェアする環境がよりよいものになると考えます。Facebookを使って、自分が誰であるか、何をしているかを偽ってほしくないのはそれが理由です。


安全に利用するために
弊社では、Facebookが安全な場所となるように努めています。弊社は、人の物理的セキュリティに危害を及ぼすリスクにつながり得るコンテンツを削除しています。利用者を脅かすようなコンテンツは、他の人を脅迫する、排除する、あるいは沈黙させる可能性があり、Facebookでは許可されていません。


プライバシー
弊社では、個人のプライバシーと情報の保護に努めています。プライバシーが重視されると、自由にありのままの自分を表現し、Facebookでいつどのように他の人とシェアするかを選択し、より簡単につながることができるようになります。


尊厳
弊社では、すべての人の尊厳と権利は平等だと考えています。利用者が他の人の尊厳を尊重し、嫌がらせをしたり侮辱したりしないことを期待しています。",meta
96,2. Meta広告ポリシーの原則,弊社の広告ポリシーの原則,"弊社の広告ポリシーの原則
弊社のポリシーは、弊社が掲げる価値観と以下の原則に基づいています。


安全でない、差別的な行為から利用者を保護する
弊社のポリシーは、すべての広告主に対し、それぞれの法域における法律を遵守し、差別的な行為への関与および違法薬物または安全性に問題のある薬物の販売を行わないよう義務付けています。


不正または詐欺から利用者を保護する
弊社のポリシーは、広告で、虚偽または誤解を招く手法で、金銭や個人情報をだまし取ろうとする意図を含んだ、製品、サービス、スキーム、クーポンを宣伝することを禁止しています。


ポジティブな利用者体験を促進する
利用者のフィードには、自分がフォローしていないページやアカウントからの広告が配信されることがあります。そのため、弊社では、広告によってMetaのテクノロジーでの全体的な利用者体験が損なわれることのないよう取り組んでいます。同様の理由により、衝撃的、扇情的、または過度に暴力的なコンテンツ、一定の成人向けコンテンツおよび不適切な言葉を含む広告を禁止しています。また、ダイエット、減量、その他の健康関連製品を宣伝するために否定的な自己イメージを暗示または喚起するコンテンツなど、不適切なコンテンツも禁止しています。


透明性を高める
弊社では広告の透明性を高め、表示される広告についての詳しい情報を提供できるように取り組んでいます。弊社の広告ライブラリでは、Metaが提供しているアプリやサービスで掲載中のすべての広告を確認できます。また、社会問題、選挙または政治に関連する広告については、消化金額範囲、広告を表示した人、広告の責任を負う団体などの追加情報も提供しています。これらのトピックに関連する広告は、それがアクティブであるか否かを問わず、広告ライブラリに表示され、7年間保管されます。また、すべてのFacebookページに[情報と広告]セクションを設けて、利用者がそれをクリックすることで、ページで掲載されているアクティブな広告を確認できるようにし、広告主が負うべき説明責任を維持するのに役立てています。",0,,meta
97,2. Meta広告ポリシーの原則,弊社のポリシーの施行,"弊社のポリシーの施行は、基本的に自動プロセスですが、手動の審査を実施する場合もあります。個々の広告の審査以外にも、弊社では広告主の行動をモニタリングして調査しています。弊社の広告規定、コミュニティ規定、その他のMetaのポリシーおよび規約に違反する広告主アカウントは制限される可能性があります。弊社の審査プロセスでは、すべてのポリシー違反が検出されるわけではありません。そのため、広告は常に審査と再審査の対象であり続け、弊社のポリシーに違反する広告はいつでも却下される可能性があります。広告主は、すべての現地法、規制、該当する場合は自主規制の広告規定に加え、Metaの広告規定に記載のポリシー、利用規約、適用されるその他の規約およびガイドラインを理解し、これらを準拠する責任を負います。通常、広告が却下された広告主には、コンプライアンスを遵守するよう広告を編集する機会が与えられます。また、広告が誤って却下されたと思われる場合には再審査をリクエストすることもできます。

利用者は、弊社のポリシーに違反すると考えられる広告を報告できます。利用者は、自分のフィードに特定の広告が表示される理由に関する詳細を確認したり、広告表示の設定を使用して自分のフィードに表示される広告を管理したりすることもできます。",0,"About self-regulatory advertising codes
It's an advertiser's responsibility to understand and comply with the policies outlined in Meta's Advertising Standards, our Terms of Service and any other applicable terms and guidelines. In addition, all advertisers are expected to comply with the local laws and regulations for any country that their ads target.

Note that certain countries, industries and self-regulatory organisations (SROs) have their own self-regulatory codes for advertising and marketing.

For example, the ICC Advertising and Marketing Communications Code, published by the International Chamber of Commerce, sets out standards for a range of marketing activities, including digital marketing communications, and is used as a baseline set of rules for responsible marketing in many countries.

A non-exhaustive list of self-regulatory advertising codes is included below for reference. These codes have been developed independently of Meta. In addition to complying with Meta's policies, advertisers are expected to do their own research on codes that may apply in the country they are seeking to advertise in.",meta
98,3. 広告審査プロセス,3. 広告審査プロセス,弊社の広告審査システムでは、主に自動ツールを利用して、広告とビジネスアカウントをポリシーに照らして確認します。広告審査プロセスは、広告の配信が始まる前に自動で実施され、通常は24時間以内に完了しますが、場合によってはそれより長くかかる場合もあります。この審査段階の広告のステータスは「審査中」です。配信が始まった後に再審査を受けることもあります。詳しくは、ビジネスヘルプセンターをご覧ください。,0,"About ads in review
Before your ads run on Facebook or Instagram, we review them against Meta Advertising Standards. After you've created or edited an ad, the review process will start automatically. You can see the status of your ad in the Delivery column of Meta Ads Manager.

How ad review works
Our ad review system relies primarily on automated technology to apply the Advertising Standards to the millions of ads that are run across Meta technologies. However, we do use human reviewers to improve and train our automated systems, and in some cases, to manually review ads.

The ad review system reviews ads for violations of our Advertising Standards. An ad may not be reviewed against all policies before delivering impressions, although all ads are subject to re-review at any time. We continue to improve our existing enforcement system by testing and implementing new approaches to ensure a fair and effective ad review process. For example, we may consider an advertiser's historical compliance with our Advertising Standards when deciding whether a given ad warrants further review for a specific policy.

What the review process may include
This review process may include the review of specific components of an ad, such as:

Images
Video
Text
Targeting information
Ad destination (where an ad directs people, such as a Facebook Page or website)
Special ad categories
Advertiser permissions
Other critical components and information
Based on the results of the review, an ad is either rejected or allowed to run.


How long ad review takes
Most ads are reviewed within 24 hours, although in some cases, it may take longer. Remember, ads may be reviewed again, including after they have gone live.

Note: If you want an ad to start running on a specific date or time in the future, you can schedule your ad. Once the ad has been submitted, it will go through ad review, but won't begin delivering until your start date.

Limitations of review
Reviewing ads from millions of advertisers globally against the Advertising Standards is essential, but it is not without challenges. Our enforcement isn't perfect, and both machines and people make mistakes.

When we launch a new policy, it can take time for the various parts of our enforcement system, both automated technology and trained global teams, to learn how to correctly and consistently enforce the new standard, but as we gather new data and feedback, our machine learning models get better and our automated enforcement improves.

We improve our existing enforcement system by testing and implementing new approaches to ensure a fair and effective ad review process. For example, we may consider an advertiser's historical compliance with our Advertising Standards or customer feedback when evaluating their ads before delivering impressions.

If you believe that your ad, ad set, campaign or item was incorrectly rejected, you can request another review in Meta Business Support Home. Learn more about what to do if your ad is rejected.

If you believe that an ad on Facebook, Instagram or other Meta platforms violates the Advertising Standards, you can report it. Learn more about how to report an ad.

What happens when you edit a previously scheduled or running ad
If you make edits to a previously scheduled or running ad or ad set, a new review process will be initiated.

The following changes to previously scheduled or running ads or ad sets will trigger a new review process:

Targeting
Creative (for example images, text, links or videos)
Optimisation
Billing event
Changes to your ad's bid amount, budget or ad set schedule will not trigger review.

Learn more
Meta Advertising Standards
Why some ads are approved, then rejected",meta
99,3. 広告審査プロセス,審査の対象,広告にポリシー違反がないかどうかを広告審査システムが確認します。場合によっては、画像、動画、テキスト、ターゲット設定、広告に関連付けられたランディングページやその他のリンク先といった個別の構成要素も審査対象になることがあります。,0,,meta
100,3. 広告審査プロセス,ビジネスアセットの審査,弊社では、広告主のビジネスアカウントやそのアセット(広告アカウント、ページ、ユーザーアカウント)も審査し、必要に応じて措置を講じています。審査の一環として、アカウントやアセットにポリシー違反がないかを評価しています。,0,,meta
101,3. 広告審査プロセス,審査の結果,"審査プロセスで違反が見つかった広告は却下され、その広告主のビジネスアカウントまたはそのアセットが制限される場合があります。弊社のポリシーには違反していないものの、品質が低い広告はパフォーマンスへの影響が生じる場合があります。品質が広告に与える影響について、詳しくはビジネスヘルプセンターをご覧ください。

ビジネスアカウントまたはそのアセット(広告アカウント、ページまたはユーザーアカウント)が制限されると、広告主はMetaのテクノロジー全体でそのアカウントまたはアセットを使って広告を掲載できなくなります。ユーザーアカウントがビジネスアカウントまたは広告アカウントでの広告掲載を制限されている場合でも、それらのアカウントの他のメンバーは広告を掲載できる場合があります。",0,"Ad quality: What you should know
What is ad quality?
Our ad system is designed to maximise value for people and businesses. Higher quality ads perform better in the auction because we've designed the auction to help create higher quality experiences for people. Ad quality is determined from many sources, including feedback from people viewing or hiding the ad and assessments of low-quality attributes and practices.

Why does ad quality matter?
Your ad will perform better in the auction if it's higher quality. Ads with a lower quality ranking tend to cost more, which may reduce distribution of the ads and lead to fewer results.
In certain instances, if you repeatedly post policy-violating or lower-quality ads, our systems may start considering all ads from your Page, domain, ad account or other associated entities as lower quality. You can improve your ad performance by recognising instances of low-quality attributes and removing them from your ads or by ensuring that your Page, domain, ad account or other associated entities comply with our Advertising Standards. Over time, your ad performance should improve.

How do I determine my ad's quality?
You can measure the quality of your ad relative to other ads competing for the same audience by using quality ranking in ad relevance diagnostics. In certain instances, we'll send you a notification so you know when low-quality attributes are severely affecting the performance of your ads.

What are tips for improving the quality of my ads?
Do make sure that your ads and landing pages are relevant and useful to your target audience. You can find additional resources on advertising best practices in our Meta Business Help Centre, such as Tips to make your ads resonate, Best practices for cost-effective creative and Best practices to make your ad more engaging.
Do not use low-quality attributes in your ads and post-click experiences, including landing pages.
Do violations of the Meta Advertising Standards result in a lower quality ranking for my ad?
No. If we detect that an ad violates our Advertising Standards, we reject it.",meta
102,3. 広告審査プロセス,広告の再審査,広告は常に審査と再審査の対象であり続け、弊社のポリシーに違反する広告はいつでも却下される可能性があります。利用者は、弊社のポリシーを理解し、遵守する責任を負います。,0,,meta
103,4. 広告が却下された場合またはビジネスアセットが制限された場合の対処法,新しい広告を作成するか、既存の広告を編集する,利用者は、新しい広告を作成するか、弊社のポリシーに準拠するよう広告を編集できます。どちらの広告も新規の広告として扱われ、広告審査システムによって審査されます。編集の手順については、こちらのページをご覧ください。,0,"About editing in Meta Ads Manager

Starting in June 2024, you may no longer be able to use dynamic creative when creating ad sets on Ads Manager when you select sales or app promotion as your objective. While existing campaigns leveraging dynamic creative will be unaffected at this time, using flexible ad format to achieve a similar result is recommended. Learn more about the flexible ad format.
Meta Ads Manager enables you to manage and edit your campaigns, ad sets or ads. You can edit active or inactive campaigns. When you make edits, you have the option to publish changes immediately or save changes and publish later.

You can adjust details based on an analysis of how your ads perform. We recommend that you use the Ads Manager reporting table to review metrics for your campaigns, ad sets or ads before you make changes. Once you change any element of your campaign, the new version replaces the old one. There's no option to reverse changes and no way to distinguish between the metrics from before and after edits are made.

When you edit your ad, you won't lose engagement (likes, comments and shares) from before your ad was edited, unless you:

Change images, videos or text.
Edit an ad set created by dynamic creative.
Edit an ad that uses different photos, videos or text for each placement.
For example, you used the traffic objective to run a campaign. When you created your ad set, you chose link clicks as your desired optimisation for delivery. Your goal is to get as many link clicks on your ad as possible, for the least amount of money spent. To begin with, you create three ads within that single ad set. Each ad has its own unique branded image, call-to-action button and URL, which leads to different parts of your website.

After you run your campaign for several days, you review your results by going to the reporting table. You click to tick the box next to the campaign that you want to examine. Then navigate to the Ads tab at the top. When you compare the number of link clicks and the cost per result, you realise that there is one image that helped you achieve the most results for the least amount of money spent. You can then edit your ads and update the two other images to the more successful one.

Note: Editing certain details of your campaign, ad set or ad may restart the learning phase or cause the ad review system to re-review your ad. Learn more about the learning phase.,
",meta
104,4. 広告が却下された場合またはビジネスアセットが制限された場合の対処法,再審査をリクエストする,広告、広告アカウント、ユーザーアカウント、ページまたはビジネスアカウントが誤って却下または制限されたと思う場合は、アカウントのクオリティでその決定事項に対する審査をリクエストすることができます。,0,,meta
